61:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 1.6s	remaining: 3.56s
62:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 1.62s	remaining: 3.53s
63:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 1.65s	remaining: 3.5s
64:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 1.67s	remaining: 3.46s
65:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 1.69s	remaining: 3.43s
66:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 1.71s	remaining: 3.4s
67:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 1.73s	remaining: 3.37s
68:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 1.76s	remaining: 3.33s
69:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 1.78s	remaining: 3.3s
70:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 1.8s	remaining: 3.27s
71:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 1.82s	remaining: 3.24s
72:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 1.84s	remaining: 3.21s
73:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 1.86s	remaining: 3.18s
74:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 1.89s	remaining: 3.15s
75:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 1.91s	remaining: 3.12s
76:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 1.93s	remaining: 3.09s
77:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 1.96s	remaining: 3.06s
78:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 1.98s	remaining: 3.03s
79:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2s	remaining: 3s
80:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.02s	remaining: 2.97s
81:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.04s	remaining: 2.94s
82:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.06s	remaining: 2.91s
83:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.08s	remaining: 2.88s
84:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.11s	remaining: 2.85s
85:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.13s	remaining: 2.82s
86:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.15s	remaining: 2.79s
87:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.17s	remaining: 2.76s
88:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.19s	remaining: 2.73s
89:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.21s	remaining: 2.71s
90:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.23s	remaining: 2.68s
91:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 2.26s	remaining: 2.65s
